Feature,Data Type,Unique Values,Missing Values,% Missing
id_24,float64,12,585793,99.2
id_21,float64,490,585381,99.13
id_07,float64,84,585385,99.13
id_25,float64,341,585408,99.13
id_26,float64,95,585377,99.13
id_08,float64,94,585385,99.13
id_27,str,2,585371,99.12
id_23,str,3,585371,99.12
id_22,float64,25,585371,99.12
dist2,float64,1751,552913,93.63
D7,float64,597,551623,93.41
id_18,float64,18,545427,92.36
D13,float64,577,528588,89.51
D14,float64,802,528353,89.47
D12,float64,635,525823,89.04
id_04,float64,15,524216,88.77
id_03,float64,24,524216,88.77
D6,float64,829,517353,87.61
id_33,str,260,517251,87.59
id_09,float64,46,515614,87.31
D8,float64,12353,515614,87.31
id_10,float64,62,515614,87.31
D9,float64,24,515614,87.31
id_30,str,75,512975,86.87
id_32,float64,4,512954,86.86
id_34,str,4,512735,86.82
id_14,float64,25,510496,86.45
V151,float64,56,508589,86.12
V152,float64,39,508589,86.12
V150,float64,1996,508589,86.12
V165,float64,2547,508589,86.12
V160,float64,9621,508589,86.12
V162,float64,185,508595,86.12
V161,float64,79,508595,86.12
V166,float64,987,508589,86.12
V164,float64,1978,508589,86.12
V145,float64,260,508589,86.12
V155,float64,25,508595,86.12
V163,float64,106,508595,86.12
V159,float64,6663,508589,86.12
V138,float64,23,508595,86.12
V153,float64,19,508595,86.12
V156,float64,25,508595,86.12
V157,float64,25,508595,86.12
V158,float64,25,508595,86.12
V154,float64,19,508595,86.12
V149,float64,21,508595,86.12
V146,float64,25,508595,86.12
V147,float64,27,508595,86.12
V148,float64,21,508595,86.12
V143,float64,870,508589,86.12
V144,float64,63,508589,86.12
V139,float64,34,508595,86.12
V140,float64,34,508595,86.12
V141,float64,6,508595,86.12
V142,float64,10,508595,86.12
V330,float64,56,508189,86.05
V329,float64,100,508189,86.05
V336,float64,356,508189,86.05
V333,float64,1971,508189,86.05
V334,float64,143,508189,86.05
V331,float64,1758,508189,86.05
V326,float64,45,508189,86.05
V325,float64,13,508189,86.05
V324,float64,976,508189,86.05
V327,float64,19,508189,86.05
V323,float64,1411,508189,86.05
V322,float64,881,508189,86.05
V338,float64,380,508189,86.05
V339,float64,334,508189,86.05
V335,float64,672,508189,86.05
V337,float64,254,508189,86.05
V328,float64,16,508189,86.05
V332,float64,2453,508189,86.05
DeviceInfo,str,1786,471874,79.91
id_13,float64,54,463220,78.44
id_16,str,2,461200,78.1
V249,float64,23,460110,77.91
V277,float64,2540,460110,77.91
V278,float64,2398,460110,77.91
V248,float64,23,460110,77.91
V275,float64,7776,460110,77.91
V276,float64,2263,460110,77.91
V252,float64,25,460110,77.91
V247,float64,19,460110,77.91
V246,float64,46,460110,77.91
V232,float64,338,460110,77.91
V237,float64,40,460110,77.91
V244,float64,23,460110,77.91
V243,float64,43,460110,77.91
V241,float64,5,460110,77.91
V242,float64,21,460110,77.91
V240,float64,6,460110,77.91
V236,float64,46,460110,77.91
V263,float64,10422,460110,77.91
V262,float64,21,460110,77.91
V261,float64,41,460110,77.91
V264,float64,13358,460110,77.91
V267,float64,3616,460110,77.91
V266,float64,2178,460110,77.91
V269,float64,151,460110,77.91
V265,float64,11757,460110,77.91
V268,float64,2756,460110,77.91
V273,float64,7177,460110,77.91
